zip_code,DP05_0004E,DP05_0008PE,DP05_0009PE,DP05_0024PE
00601,Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),Percent!!SEX AND AGE!!Total population!!15 to 19 years,Percent!!SEX AND AGE!!Total population!!20 to 24 years,Percent!!SEX AND AGE!!Total population!!65 years and over
02643,85.5,5.3,4.5,38.6
02644,-,-,-,-
02645,90.6,6.3,6.9,18.0
02646,88.3,3.3,6.2,30.4
02647,100.4,3.0,3.4,46.3
02648,56.5,0.0,0.0,56.7
02649,97.4,6.5,5.9,20.7
02650,86.0,5.7,4.9,29.0
02651,99.8,0.6,0.4,44.6
02652,212.5,0.0,0.0,0.0
02653,94.6,0.0,0.0,34.6
02655,80.1,3.7,1.3,39.6
02657,99.5,6.4,2.2,36.8
02659,138.2,1.7,3.4,27.6
02660,102.2,4.6,2.7,31.1
02663,85.8,3.7,5.7,36.6
02664,112.5,0.0,0.0,83.3
02666,87.0,3.5,5.7,34.4
02667,163.6,5.5,5.7,44.4
02668,76.6,4.4,8.8,31.1
02669,72.7,5.2,4.7,28.8
02670,237.5,0.0,0.0,70.4
02671,92.7,0.3,3.1,43.2
02672,93.2,0.0,2.3,50.1
02673,125.2,14.1,0.0,45.8
02675,84.0,3.8,5.6,23.5
02702,73.8,3.8,3.5,41.7
02703,88.7,6.5,6.2,16.3
02713,95.8,5.1,4.7,16.9
02715,145.0,0.0,0.0,36.7
02717,85.1,5.6,6.2,11.8
02718,96.8,3.3,4.0,19.3
02719,92.5,4.6,6.8,13.0
02720,93.2,5.0,6.8,22.7
02721,97.6,4.7,7.2,18.5
02723,86.3,4.1,6.4,16.6
02724,109.9,5.4,7.2,14.2
02725,89.0,5.7,6.6,15.7
02726,109.3,7.8,3.9,24.2
02738,96.6,5.3,3.8,23.6
02739,91.1,6.3,2.9,27.0
02740,96.0,7.1,5.6,25.3
02743,90.1,7.0,9.0,16.4
02744,92.9,4.9,5.4,20.1
02745,89.3,7.7,6.3,12.7
02746,97.9,5.8,6.3,15.9
02747,96.1,6.6,7.4,12.0
02748,95.3,11.7,15.1,16.3
02760,82.8,5.5,4.0,28.1
02762,93.3,6.7,4.4,13.0
02763,95.7,4.9,5.7,14.7
02764,94.5,6.2,2.5,6.9
02766,90.3,8.9,6.8,16.0
02767,91.3,10.1,11.5,13.8
02769,85.1,6.8,4.6,19.0
02770,108.3,6.5,7.9,13.1
02771,119.4,8.7,4.9,15.7
02777,87.0,4.5,3.6,18.0
02779,105.1,4.2,4.7,20.1
02780,98.7,6.8,4.4,14.0
02790,91.2,6.0,5.8,15.3
02791,99.3,7.1,4.8,24.3
02802,123.3,7.5,0.0,53.7
02804,103.1,6.9,2.4,1.9
02806,93.4,3.1,8.7,16.0
02807,91.3,7.3,2.5,16.6
02808,86.2,7.8,2.3,23.3
02809,96.4,12.8,4.2,10.9
02812,99.1,13.2,8.9,20.7
02813,124.3,10.4,5.9,12.1
02814,99.1,5.0,6.8,23.9
02815,110.7,4.9,4.7,15.4
02816,128.0,0.0,7.6,11.4
02817,93.2,6.6,5.6,17.2
02818,94.3,6.4,4.5,15.3
02822,89.5,5.4,3.8,21.1
02825,105.2,6.8,13.0,17.6
02826,98.7,9.3,5.0,17.4
02827,102.9,13.6,0.0,23.0
02828,108.9,4.4,5.1,17.0
02830,89.8,5.5,5.2,23.3
02831,97.5,7.1,5.9,15.3
02832,111.6,7.8,6.2,15.8
02833,95.1,5.9,5.7,18.3
02835,64.2,9.1,2.4,15.5
02836,99.6,5.3,2.5,25.5
02837,167.9,0.0,14.7,0.0
02838,104.9,6.2,2.8,32.4
02839,82.7,5.7,5.2,15.9
02840,99.4,6.7,0.9,16.7
02841,84.9,7.6,8.8,19.7
02842,475.0,1.5,49.2,0.0
02852,91.2,4.2,5.5,20.0
02857,95.1,4.9,6.6,20.6
02858,97.6,6.2,7.0,20.9
02859,50.9,2.3,23.8,6.7
02860,101.7,7.0,3.8,13.6
02861,104.5,5.6,7.3,12.3
02863,98.9,3.2,5.2,14.3
02864,108.3,7.5,8.8,7.2
