,zip_code, !!Total:, !!Total:!!Urban, !!Total:!!Rural
896,03592,1094,0,1094
897,03593,329,0,329
898,03595,713,0,713
899,03597,374,0,374
900,03598,3393,0,3393
901,03601,376,0,376
902,03602,2599,0,2599
903,03603,5127,0,5127
904,03604,15,0,15
905,03605,1104,0,1104
906,03607,314,0,314
907,03608,2811,214,2597
908,03609,807,710,97
909,03740,1071,0,1071
910,03741,4071,30,4041
911,03743,13540,9415,4125
912,03745,1616,0,1616
913,03748,4626,1896,2730
914,03750,938,33,905
915,03751,399,0,399
916,03752,784,0,784
917,03753,3476,0,3476
918,03755,10926,9016,1910
919,03765,487,0,487
920,03766,9838,7750,2088
921,03768,1736,0,1736
922,03770,583,0,583
923,03771,864,0,864
924,03773,7801,0,7801
925,03774,1808,0,1808
926,03777,1237,0,1237
927,03779,769,0,769
928,03780,475,0,475
929,03781,1876,0,1876
930,03782,3030,0,3030
931,03784,4444,4380,64
932,03785,2245,0,2245
933,03801,22767,22170,597
934,03809,3644,582,3062
935,03810,2246,958,1288
936,03811,7081,6998,83
937,03812,936,0,936
938,03813,3681,640,3041
939,03814,2357,0,2357
940,03816,1304,0,1304
941,03817,452,0,452
942,03818,3478,1837,1641
943,03819,4208,956,3252
944,03820,32800,28311,4489
945,03823,1928,61,1867
946,03824,15498,12086,3412
947,03825,9326,0,9326
948,03826,2693,2582,111
949,03827,3307,248,3059
950,03830,1611,0,1611
951,03832,405,0,405
952,03833,22662,13443,9219
953,03835,6758,0,6758
954,03836,1689,0,1689
955,03837,1471,0,1471
956,03838,1150,0,1150
957,03839,4058,3378,680
958,03840,4076,3432,644
959,03841,6486,6486,0
960,03842,16048,15511,537
961,03844,2428,938,1490
962,03845,1093,479,614
963,03846,995,0,995
964,03847,326,310,16
965,03848,6202,3255,2947
966,03849,1446,0,1446
967,03850,340,0,340
968,03851,3891,122,3769
969,03852,591,0,591
970,03853,769,0,769
971,03854,1000,1000,0
972,03855,2693,0,2693
973,03856,1769,351,1418
974,03857,9430,7866,1564
975,03858,4820,3682,1138
976,03860,3910,2006,1904
977,03861,4499,19,4480
978,03862,4597,2763,1834
979,03864,1999,0,1999
980,03865,7830,7437,393
981,03867,22369,20018,2351
982,03868,6065,5435,630
983,03869,2456,1661,795
984,03870,5234,4236,998
985,03871,250,188,62
986,03872,3981,0,3981
987,03873,6557,2372,4185
988,03874,8542,8292,250
989,03875,973,0,973
990,03878,11919,11714,205
