zip_code,Estimate!!Households!!Median income (dollars),Margin of Error!!Households!!Median income (dollars),Estimate!!Families!!Median income (dollars),Margin of Error!!Families!!Median income (dollars),Estimate!!Married-couple families!!Median income (dollars),Margin of Error!!Married-couple families!!Median income (dollars),Estimate!!Nonfamily households!!Median income (dollars),Margin of Error!!Nonfamily households!!Median income (dollars)
45353,53235,32488,77596,47685,78077,23472,-,**
45354,57500,15425,74643,19563,73929,19896,31667,9497
45356,48074,2551,63412,5764,73897,4784,31029,2846
45358,60000,12116,63125,8982,72500,16478,44219,33629
45359,60185,6526,69375,11617,73654,6908,30673,12848
45360,31250,25848,63438,6203,63750,5260,17151,2626
45361,49844,17389,63409,15058,64545,4109,34464,6394
45362,56898,5354,65500,9998,67917,10147,41477,16859
45363,79821,11686,89688,9379,94375,8500,37083,16357
45365,59714,3655,73100,2913,85768,4780,32556,3038
45368,55170,6309,63451,11223,75705,8085,35884,5745
45369,62092,10532,75662,17702,87614,17197,33828,13301
45370,78083,9123,94816,30187,105313,27842,49000,6371
45371,76010,7267,96168,3867,99811,7278,41328,3945
45372,55250,21314,64063,12415,71875,29426,30500,7292
45373,62479,3307,82742,6052,96614,7592,35046,5363
45377,60405,5164,81607,11451,95986,6771,38674,6783
45378,50938,17517,61786,15985,70313,14051,29063,18081
45380,73609,4098,83395,3266,91686,8303,24726,4379
45381,61835,5904,67300,6435,75684,7036,37917,11427
45382,60272,5902,60441,5485,70380,9056,47250,31851
45383,54643,15955,69402,8454,78258,12462,31438,4780
45384,77031,22553,88938,8257,89563,7440,-,**
45385,57511,2115,71087,3479,86858,4953,31034,2448
45387,65304,9886,103604,9970,113808,9537,36957,3515
45388,96940,3319,98274,6125,98750,8323,-,**
45389,61389,14148,67500,3737,69444,6750,30417,12644
45390,40990,9993,57639,15438,75795,12113,26912,5206
45402,26550,2659,36042,6929,74028,19163,17760,3504
45403,29939,2964,33991,5548,49100,14153,21958,4494
45404,31303,5253,35955,8704,49682,10308,23750,7285
45405,30675,2271,35432,3547,62818,7818,24497,3207
45406,28701,2082,39386,3310,61441,5936,20909,2024
45409,64111,5349,87500,9391,98571,21770,35992,5448
45410,36596,2174,41430,4864,58520,9823,25666,5503
45414,45957,5214,61027,5141,79112,5640,31978,3148
45415,62832,4606,74699,5161,94872,10055,33098,8276
45416,48083,9951,54172,11181,67155,20290,32611,6139
45417,27374,1372,31875,2952,59279,7962,20390,2022
45418,62596,12572,65968,14385,90000,23222,-,**
45419,79860,4758,104525,10768,127443,9446,43542,8181
45420,43501,3326,63053,3923,75748,3983,29499,2868
45424,66080,2959,74928,3591,87462,4499,43576,5125
45426,35637,3785,41743,3673,70233,7797,29930,2801
45428,-,**,-,**,-,**,-,**
