zip_code,Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),Percent!!SEX AND AGE!!Total population!!15 to 19 years,Percent!!SEX AND AGE!!Total population!!20 to 24 years,Percent!!SEX AND AGE!!Total population!!65 years and over
01772,98.2,7.9,5.0,15.3
01773,91.1,7.0,2.7,28.4
01775,92.1,7.5,4.5,16.3
01776,102.4,7.6,4.3,15.8
01778,99.8,7.2,3.9,18.0
01801,102.4,5.7,5.6,16.3
01803,91.3,5.6,5.4,19.2
01810,93.3,8.4,5.3,14.8
01821,98.0,6.4,6.9,14.9
01824,96.6,5.5,5.1,18.2
01826,97.4,6.7,5.7,15.4
01827,99.3,8.1,6.9,14.8
01830,95.2,6.3,5.5,14.6
01832,91.9,6.6,6.5,11.8
01833,98.5,7.8,3.6,15.8
01834,104.0,6.7,9.5,17.8
01835,92.4,7.0,6.6,10.5
01840,96.4,5.1,8.5,13.6
01841,95.6,8.2,9.3,9.8
01843,96.2,6.5,7.0,10.8
01844,92.6,8.1,7.0,16.0
01845,92.5,9.3,6.6,15.9
01850,118.6,5.2,10.4,10.2
01851,95.6,5.3,8.9,10.3
01852,94.7,5.7,6.4,12.3
01854,101.5,12.0,15.3,10.5
01860,98.4,10.3,4.8,19.1
01862,114.9,7.4,4.9,16.3
01863,87.2,5.6,5.6,20.5
01864,104.9,7.7,5.1,14.4
01867,97.3,6.1,3.3,17.5
01876,91.2,6.1,5.4,18.0
01879,98.8,7.7,7.3,11.8
01880,91.0,4.8,4.6,18.6
01886,97.2,8.8,4.6,13.0
01887,97.1,6.5,6.1,16.4
01890,94.7,6.2,3.7,17.7
01901,98.2,8.9,12.7,21.8
01902,103.9,5.4,8.2,11.4
01904,91.5,7.2,7.0,13.9
01905,104.8,7.9,6.4,9.8
01906,95.9,4.3,6.2,20.2
01907,83.8,5.5,4.9,19.1
01908,86.6,8.5,3.4,24.4
01913,95.1,6.1,5.6,16.8
01915,87.1,6.7,9.2,16.8
01921,104.9,7.9,4.2,16.1
01922,89.0,7.9,2.5,22.9
01923,83.3,5.5,5.5,21.1
01929,96.0,4.5,3.4,18.4
01930,93.8,4.5,4.6,23.0
01937,361.5,0.0,0.0,0.0
01938,92.8,5.9,5.7,22.4
01940,91.2,5.8,5.4,19.7
01944,100.9,6.8,3.7,23.6
01945,88.9,7.6,2.9,21.8
01949,114.5,4.3,7.7,18.4
01950,83.6,5.1,3.6,21.0
01951,75.2,5.2,2.4,22.1
01952,99.5,4.8,4.5,20.4
01960,92.5,4.8,6.4,22.5
01966,77.8,5.0,2.0,33.7
01969,86.9,7.1,5.0,16.9
01970,83.3,5.7,10.2,16.1
01982,102.3,6.5,5.0,14.1
